day,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timestamp,daily return,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,current_supply,daily excess return,volume,exclude_testing,exclude_training_and_testing,bm,size,illiq,capm beta,capm alpha,ivol,turnover,rvol,S Corwin Schultz,S Abdi Ranaldo,bid-ask,detrended turnover,standard deviation turnover,standard deviation volume,rel to high,max,volume shock 30,volume shock 60,r2_1,r7_2,r13_2,r22_2,r31_2,r30_14,r180_60,var_5
2017-12-29,1514505600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-12-29 01:00:00,,2,2,2,2,3,3,0,73.3333333333333,0.0,0.0,0.0,False,False,inf,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,
2017-12-30,1514592000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-12-30 01:00:00,,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,False,False,inf,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,
2017-12-31,1514678400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2017-12-31 01:00:00,,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,False,False,inf,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,
2018-01-01,1514764800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-01-01 01:00:00,,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,False,False,inf,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,
2018-01-02,1514851200,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-01-02 01:00:00,,2,5,3,4,9,12,0,1.87777777777778,10.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,14.352317054875137,0.0,0.0,,0.0,,,,,,,,,,
2018-01-03,1514937600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-01-03 01:00:00,,2,5,0,0,0,0,0,0.0,10.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-13.492232554934844,0.0,0.0,,0.0,,,,,,,,,,
2018-01-04,1515024000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-01-04 01:00:00,,2,6,1,2,1,13,0,1.0,11.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,1.3695716439568528,0.0,0.0,,0.0,,,,,,,,,,
2018-01-05,1515110400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-01-05 01:00:00,,3,9,3,6,14,27,0,857790.928571429,12009081.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,
2018-01-06,1515196800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-01-06 01:00:00,,3,9,0,2,1,28,0,400000.0,12409081.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-21.862887074804732,0.0,0.0,,0.0,,,,,,,,,,
2018-01-07,1515283200,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-01-07 01:00:00,,50,79,70,75,131,159,0,533069.037168702,35954131.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,8.73427754573705,0.0,0.0,,0.0,,,,,,,,,,
2018-01-08,1515369600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-01-08 01:00:00,,78,265,186,205,252,411,0,22082.6591301587,35954131.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,16.041293432200852,0.0,0.0,,0.0,,,,,,,,,,
2018-01-09,1515456000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-01-09 01:00:00,,196,621,356,424,526,937,0,891652.166590228,245049136.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-5.774901867532947,0.0,0.0,,0.0,,,,,,,,,,
2018-01-10,1515542400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-01-10 01:00:00,,336,1757,1136,1270,1355,2292,0,108764.150840066,245049136.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,11.76577858311925,0.0,0.0,,0.0,,,,,,,,,,
2018-01-11,1515628800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-01-11 01:00:00,,528,2269,512,789,773,3065,0,29212.5186968952,247249141.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-4.878975078816957,0.0,0.0,,0.0,,,,,,,,,,
2018-01-12,1515715200,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-01-12 01:00:00,,778,2580,311,587,593,3658,0,78199.0271138111,247259142.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,-7.260580572259379,0.0,0.0,,0.0,,,,,,,,,,
2018-01-13,1515801600,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-01-13 01:00:00,,860,2842,262,378,359,4017,0,26401.3101398329,247259142.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,13.298758243823812,0.0,0.0,,0.0,,,,,,,,,,
2018-01-14,1515888000,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-01-14 01:00:00,,892,2951,109,204,166,4183,0,27275.1144698795,247259142.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,17.842133519485344,0.0,0.0,,0.0,,,,,,,,,,
2018-01-15,1515974400,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-01-15 01:00:00,,943,3114,163,292,249,4432,0,77715.5212751004,240141141.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,10.555956273885322,0.0,0.0,,0.0,,,,,,,,,,
2018-01-16,1516060800,0.0,0.0,0.0,0.0,0.0,0.0,multiply,BTC,2018-01-16 01:00:00,,1037,3235,121,274,196,4628,0,44383.0966119388,241521808.0,0.0,0.0,False,False,inf,0.0,,,,,0.0,,,,,13.032359869137444,0.0,0.0,,0.0,,,,,,,,,,
